"goal","Source_French","objectif"
"goal","Source_German","Ziel"
"goal","Source_English","Goal"
"goal","Source","Goal"
"budget","Source_French","budget"
"budget","Source_German","budget"
"budget","Source_English","budget"
"budget","Source","budget"
"COS (future)","Source_French","coût des ventes (futur)"
"COS (future)","Source_German","COS (future)"
"COS (future)","Source_English","COS (future)"
"COS (future)","Source","COS (future)"
"depreciation (future)","Source_French","amortissements (futur)"
"depreciation (future)","Source_German","Abschreibung (zukünftig)"
"depreciation (future)","Source_English","depreciation (future)"
"depreciation (future)","Source","depreciation (future)"
"payroll (future)","Source_French","masse salariale (futur)"
"payroll (future)","Source_German","Personalkosten (zukünftig)"
"payroll (future)","Source_English","payroll (future)"
"payroll (future)","Source","payroll (future)"
"revenue (future)","Source_French","chiffre d'Affaires (futur)"
"revenue (future)","Source_German","Umsatz (zukünftig)"
"revenue (future)","Source_English","revenue (future)"
"revenue (future)","Source","revenue (future)"
"other expense (future)","Source_French","autres Dépenses (futur)"
"other expense (future)","Source_German","sonstige Kosten (zukünftig))"
"other expense (future)","Source_English","other expense (future)"
"other expense (future)","Source","other expense (future)"
"allocations (future)","Source_French","allocations (futur)"
"allocations (future)","Source_German","Umlagen (zukünftig)"
"allocations (future)","Source_English","allocations (future)"
"allocations (future)","Source","allocations (future)"
"input","Source_French","Entrée de niveau de compte"
"input","Source_German","Eingabe auf Kontenebene"
"input","Source_English","Account Level Input"
"input","Source","Account Level Input"
"line input","Source_French","Entrée de poste"
"line input","Source_German","Einzelposteneingabe"
"line input","Source_English","Line Item Input"
"line input","Source","Line Item Input"
